FK_name,Parent_table,Parent_column,Referenced_table,Referenced_column
FK_SalesTaxRate_StateProvince_StateProvinceID,SalesTaxRate,StateProvinceID,StateProvince,StateProvinceID
FK_PersonCreditCard_Person_BusinessEntityID,PersonCreditCard,BusinessEntityID,Person,BusinessEntityID
FK_PersonCreditCard_CreditCard_CreditCardID,PersonCreditCard,CreditCardID,CreditCard,CreditCardID
FK_PersonPhone_Person_BusinessEntityID,PersonPhone,BusinessEntityID,Person,BusinessEntityID
FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID,PersonPhone,PhoneNumberTypeID,PhoneNumberType,PhoneNumberTypeID
FK_SalesTerritory_CountryRegion_CountryRegionCode,SalesTerritory,CountryRegionCode,CountryRegion,CountryRegionCode
FK_Product_UnitMeasure_SizeUnitMeasureCode,Product,SizeUnitMeasureCode,UnitMeasure,UnitMeasureCode
FK_Product_UnitMeasure_WeightUnitMeasureCode,Product,WeightUnitMeasureCode,UnitMeasure,UnitMeasureCode
FK_Product_ProductSubcategory_ProductSubcategoryID,Product,ProductSubcategoryID,ProductSubcategory,ProductSubcategoryID
FK_Product_ProductModel_ProductModelID,Product,ProductModelID,ProductModel,ProductModelID
FK_SalesTerritoryHistory_SalesPerson_BusinessEntityID,SalesTerritoryHistory,BusinessEntityID,SalesPerson,BusinessEntityID
FK_SalesTerritoryHistory_SalesTerritory_TerritoryID,SalesTerritoryHistory,TerritoryID,SalesTerritory,TerritoryID
FK_ProductCostHistory_Product_ProductID,ProductCostHistory,ProductID,Product,ProductID
FK_ShoppingCartItem_Product_ProductID,ShoppingCartItem,ProductID,Product,ProductID
FK_ProductDocument_Product_ProductID,ProductDocument,ProductID,Product,ProductID
FK_ProductDocument_Document_DocumentNode,ProductDocument,DocumentNode,Document,DocumentNode
FK_ProductInventory_Product_ProductID,ProductInventory,ProductID,Product,ProductID
FK_ProductInventory_Location_LocationID,ProductInventory,LocationID,Location,LocationID
FK_ProductListPriceHistory_Product_ProductID,ProductListPriceHistory,ProductID,Product,ProductID
FK_Address_StateProvince_StateProvinceID,Address,StateProvinceID,StateProvince,StateProvinceID
FK_SpecialOfferProduct_SpecialOffer_SpecialOfferID,SpecialOfferProduct,SpecialOfferID,SpecialOffer,SpecialOfferID
FK_SpecialOfferProduct_Product_ProductID,SpecialOfferProduct,ProductID,Product,ProductID
FK_StateProvince_CountryRegion_CountryRegionCode,StateProvince,CountryRegionCode,CountryRegion,CountryRegionCode
FK_StateProvince_SalesTerritory_TerritoryID,StateProvince,TerritoryID,SalesTerritory,TerritoryID
FK_ProductModelIllustration_ProductModel_ProductModelID,ProductModelIllustration,ProductModelID,ProductModel,ProductModelID
FK_ProductModelIllustration_Illustration_IllustrationID,ProductModelIllustration,IllustrationID,Illustration,IllustrationID
FK_ProductModelProductDescriptionCulture_ProductModel_ProductModelID,ProductModelProductDescriptionCulture,ProductModelID,ProductModel,ProductModelID
FK_ProductModelProductDescriptionCulture_ProductDescription_ProductDescriptionID,ProductModelProductDescriptionCulture,ProductDescriptionID,ProductDescription,ProductDescriptionID
FK_ProductModelProductDescriptionCulture_Culture_CultureID,ProductModelProductDescriptionCulture,CultureID,Culture,CultureID
FK_BillOfMaterials_Product_ProductAssemblyID,BillOfMaterials,ProductAssemblyID,Product,ProductID
FK_BillOfMaterials_Product_ComponentID,BillOfMaterials,ComponentID,Product,ProductID
FK_BillOfMaterials_UnitMeasure_UnitMeasureCode,BillOfMaterials,UnitMeasureCode,UnitMeasure,UnitMeasureCode
FK_Store_BusinessEntity_BusinessEntityID,Store,BusinessEntityID,BusinessEntity,BusinessEntityID
FK_Store_SalesPerson_SalesPersonID,Store,SalesPersonID,SalesPerson,BusinessEntityID
FK_ProductProductPhoto_Product_ProductID,ProductProductPhoto,ProductID,Product,ProductID
FK_ProductProductPhoto_ProductPhoto_ProductPhotoID,ProductProductPhoto,ProductPhotoID,ProductPhoto,ProductPhotoID
FK_TransactionHistory_Product_ProductID,TransactionHistory,ProductID,Product,ProductID
FK_ProductReview_Product_ProductID,ProductReview,ProductID,Product,ProductID
FK_ProductSubcategory_ProductCategory_ProductCategoryID,ProductSubcategory,ProductCategoryID,ProductCategory,ProductCategoryID
FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID,BusinessEntityAddress,BusinessEntityID,BusinessEntity,BusinessEntityID
FK_BusinessEntityAddress_Address_AddressID,BusinessEntityAddress,AddressID,Address,AddressID
FK_BusinessEntityAddress_AddressType_AddressTypeID,BusinessEntityAddress,AddressTypeID,AddressType,AddressTypeID
FK_ProductVendor_Product_ProductID,ProductVendor,ProductID,Product,ProductID
FK_ProductVendor_Vendor_BusinessEntityID,ProductVendor,BusinessEntityID,Vendor,BusinessEntityID
FK_ProductVendor_UnitMeasure_UnitMeasureCode,ProductVendor,UnitMeasureCode,UnitMeasure,UnitMeasureCode
FK_BusinessEntityContact_BusinessEntity_BusinessEntityID,BusinessEntityContact,BusinessEntityID,BusinessEntity,BusinessEntityID
FK_BusinessEntityContact_Person_PersonID,BusinessEntityContact,PersonID,Person,BusinessEntityID
FK_BusinessEntityContact_ContactType_ContactTypeID,BusinessEntityContact,ContactTypeID,ContactType,ContactTypeID
FK_Vendor_BusinessEntity_BusinessEntityID,Vendor,BusinessEntityID,BusinessEntity,BusinessEntityID
FK_CountryRegionCurrency_CountryRegion_CountryRegionCode,CountryRegionCurrency,CountryRegionCode,CountryRegion,CountryRegionCode
FK_CountryRegionCurrency_Currency_CurrencyCode,CountryRegionCurrency,CurrencyCode,Currency,CurrencyCode
FK_WorkOrder_Product_ProductID,WorkOrder,ProductID,Product,ProductID
FK_WorkOrder_ScrapReason_ScrapReasonID,WorkOrder,ScrapReasonID,ScrapReason,ScrapReasonID
FK_PurchaseOrderDetail_PurchaseOrderHeader_PurchaseOrderID,PurchaseOrderDetail,PurchaseOrderID,PurchaseOrderHeader,PurchaseOrderID
FK_PurchaseOrderDetail_Product_ProductID,PurchaseOrderDetail,ProductID,Product,ProductID
FK_WorkOrderRouting_WorkOrder_WorkOrderID,WorkOrderRouting,WorkOrderID,WorkOrder,WorkOrderID
FK_WorkOrderRouting_Location_LocationID,WorkOrderRouting,LocationID,Location,LocationID
FK_PurchaseOrderHeader_Employee_EmployeeID,PurchaseOrderHeader,EmployeeID,Employee,BusinessEntityID
FK_PurchaseOrderHeader_Vendor_VendorID,PurchaseOrderHeader,VendorID,Vendor,BusinessEntityID
FK_PurchaseOrderHeader_ShipMethod_ShipMethodID,PurchaseOrderHeader,ShipMethodID,ShipMethod,ShipMethodID
FK_CurrencyRate_Currency_FromCurrencyCode,CurrencyRate,FromCurrencyCode,Currency,CurrencyCode
FK_CurrencyRate_Currency_ToCurrencyCode,CurrencyRate,ToCurrencyCode,Currency,CurrencyCode
FK_Customer_Person_PersonID,Customer,PersonID,Person,BusinessEntityID
FK_Customer_Store_StoreID,Customer,StoreID,Store,BusinessEntityID
FK_Customer_SalesTerritory_TerritoryID,Customer,TerritoryID,SalesTerritory,TerritoryID
FK_Document_Employee_Owner,Document,Owner,Employee,BusinessEntityID
FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID,SalesOrderDetail,SalesOrderID,SalesOrderHeader,SalesOrderID
FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID,SalesOrderDetail,ProductID,SpecialOfferProduct,ProductID
