BillOfMaterialsID,ProductAssemblyID,ComponentID,StartDate,EndDate,UnitMeasureCode,BOMLevel,PerAssemblyQty,ModifiedDate
893,NULL,749,00:00.0,NULL,EA ,0,1,00:00.0
271,NULL,750,00:00.0,00:00.0,EA ,0,1,00:00.0
34,NULL,750,00:00.0,NULL,EA ,0,1,00:00.0
830,NULL,751,00:00.0,NULL,EA ,0,1,00:00.0
2074,NULL,752,00:00.0,NULL,EA ,0,1,00:00.0
1950,NULL,753,00:00.0,00:00.0,EA ,0,1,00:00.0
1761,NULL,753,00:00.0,NULL,EA ,0,1,00:00.0
3088,NULL,754,00:00.0,NULL,EA ,0,1,00:00.0
3351,NULL,755,00:00.0,NULL,EA ,0,1,00:00.0
3246,NULL,756,00:00.0,NULL,EA ,0,1,00:00.0
2760,NULL,757,00:00.0,NULL,EA ,0,1,00:00.0
2395,NULL,758,00:00.0,NULL,EA ,0,1,00:00.0
3087,NULL,759,00:00.0,NULL,EA ,0,1,00:00.0
3350,NULL,760,00:00.0,NULL,EA ,0,1,00:00.0
2822,NULL,761,00:00.0,NULL,EA ,0,1,00:00.0
3245,NULL,762,00:00.0,NULL,EA ,0,1,00:00.0
2759,NULL,763,00:00.0,NULL,EA ,0,1,00:00.0
2394,NULL,764,00:00.0,NULL,EA ,0,1,00:00.0
3341,NULL,765,00:00.0,NULL,EA ,0,1,00:00.0
2815,NULL,766,00:00.0,NULL,EA ,0,1,00:00.0
2449,NULL,767,00:00.0,NULL,EA ,0,1,00:00.0
2899,NULL,768,00:00.0,00:00.0,EA ,0,1,00:00.0
2738,NULL,768,00:00.0,NULL,EA ,0,1,00:00.0
2363,NULL,769,00:00.0,NULL,EA ,0,1,00:00.0
1265,NULL,770,00:00.0,NULL,EA ,0,1,00:00.0
1195,NULL,771,00:00.0,NULL,EA ,0,1,00:00.0
3017,NULL,772,00:00.0,NULL,EA ,0,1,00:00.0
3281,NULL,773,00:00.0,NULL,EA ,0,1,00:00.0
2783,NULL,774,00:00.0,NULL,EA ,0,1,00:00.0
5,NULL,775,00:00.0,NULL,EA ,0,1,00:00.0
2737,NULL,776,00:00.0,NULL,EA ,0,1,00:00.0
2362,NULL,777,00:00.0,NULL,EA ,0,1,00:00.0
1264,NULL,778,00:00.0,NULL,EA ,0,1,00:00.0
1642,NULL,779,00:00.0,NULL,EA ,0,1,00:00.0
393,NULL,780,00:00.0,NULL,EA ,0,1,00:00.0
52,NULL,781,00:00.0,NULL,EA ,0,1,00:00.0
3217,NULL,782,00:00.0,NULL,EA ,0,1,00:00.0
808,NULL,783,00:00.0,NULL,EA ,0,1,00:00.0
2049,NULL,784,00:00.0,NULL,EA ,0,1,00:00.0
4,NULL,785,00:00.0,NULL,EA ,0,1,00:00.0
2736,NULL,786,00:00.0,NULL,EA ,0,1,00:00.0
2361,NULL,787,00:00.0,NULL,EA ,0,1,00:00.0
1263,NULL,788,00:00.0,NULL,EA ,0,1,00:00.0
3247,NULL,789,00:00.0,NULL,EA ,0,1,00:00.0
2761,NULL,790,00:00.0,NULL,EA ,0,1,00:00.0
2396,NULL,791,00:00.0,NULL,EA ,0,1,00:00.0
3089,NULL,792,00:00.0,NULL,EA ,0,1,00:00.0
2739,NULL,793,00:00.0,NULL,EA ,0,1,00:00.0
2364,NULL,794,00:00.0,NULL,EA ,0,1,00:00.0
1266,NULL,795,00:00.0,NULL,EA ,0,1,00:00.0
482,NULL,796,00:00.0,NULL,EA ,0,1,00:00.0
1024,NULL,797,00:00.0,00:00.0,EA ,0,1,00:00.0
783,NULL,797,00:00.0,NULL,EA ,0,1,00:00.0
