TransactionID,ProductID,ReferenceOrderID,ReferenceOrderLineID,TransactionDate,TransactionType,Quantity,ActualCost,ModifiedDate
1,1,1,1,00:00.0,P,4,50.26,00:00.0
2,359,2,1,00:00.0,P,3,45.12,00:00.0
3,360,2,2,00:00.0,P,3,45.5805,00:00.0
4,530,3,1,00:00.0,P,550,16.086,00:00.0
5,4,4,1,00:00.0,P,3,57.0255,00:00.0
6,512,5,1,00:00.0,P,550,37.086,00:00.0
7,513,6,1,00:00.0,P,550,26.5965,00:00.0
8,317,7,1,00:00.0,P,550,27.0585,00:00.0
9,318,7,2,00:00.0,P,550,33.579,00:00.0
10,319,7,3,00:00.0,P,550,46.0635,00:00.0
11,403,8,1,00:00.0,P,3,47.4705,00:00.0
12,404,8,2,00:00.0,P,3,45.3705,00:00.0
13,405,8,3,00:00.0,P,3,49.644,00:00.0
14,406,8,4,00:00.0,P,3,45.3705,00:00.0
15,407,8,5,00:00.0,P,3,43.2705,00:00.0
16,709,43659,10,00:00.0,S,6,6.175,00:00.0
17,711,43659,12,00:00.0,S,4,20.1865,00:00.0
18,712,43659,11,00:00.0,S,2,5.6187,00:00.0
19,714,43659,8,00:00.0,S,3,31.2437,00:00.0
20,716,43659,9,00:00.0,S,1,31.2437,00:00.0
21,771,43659,4,00:00.0,S,1,2447.9928,00:00.0
22,772,43659,5,00:00.0,S,1,2447.9928,00:00.0
23,773,43659,6,00:00.0,S,2,2447.9928,00:00.0
24,774,43659,7,00:00.0,S,1,2447.9928,00:00.0
25,776,43659,1,00:00.0,S,1,2429.9928,00:00.0
26,777,43659,2,00:00.0,S,3,2429.9928,00:00.0
27,778,43659,3,00:00.0,S,1,2429.9928,00:00.0
28,758,43660,2,00:00.0,S,1,1049.7528,00:00.0
29,762,43660,1,00:00.0,S,1,503.3507,00:00.0
30,708,43661,15,00:00.0,S,5,20.1865,00:00.0
31,711,43661,9,00:00.0,S,2,20.1865,00:00.0
32,712,43661,4,00:00.0,S,4,5.6187,00:00.0
33,715,43661,5,00:00.0,S,4,31.2437,00:00.0
34,716,43661,13,00:00.0,S,2,31.2437,00:00.0
35,741,43661,10,00:00.0,S,2,1009.73,00:00.0
36,742,43661,6,00:00.0,S,2,891.2004,00:00.0
37,743,43661,2,00:00.0,S,1,881.4687,00:00.0
38,745,43661,1,00:00.0,S,1,998.704,00:00.0
39,747,43661,3,00:00.0,S,2,881.4687,00:00.0
40,773,43661,12,00:00.0,S,2,2447.9928,00:00.0
41,775,43661,7,00:00.0,S,3,2429.9928,00:00.0
42,776,43661,11,00:00.0,S,4,2429.9928,00:00.0
43,777,43661,14,00:00.0,S,2,2429.9928,00:00.0
44,778,43661,8,00:00.0,S,2,2429.9928,00:00.0
45,722,43662,15,00:00.0,S,3,220.2496,00:00.0
46,725,43662,5,00:00.0,S,3,226.8571,00:00.0
47,726,43662,18,00:00.0,S,1,226.8571,00:00.0
48,729,43662,14,00:00.0,S,1,226.8571,00:00.0
49,730,43662,3,00:00.0,S,2,226.8571,00:00.0
50,732,43662,12,00:00.0,S,1,440.1742,00:00.0
51,733,43662,19,00:00.0,S,1,440.1742,00:00.0
52,738,43662,20,00:00.0,S,1,220.2496,00:00.0
53,749,43662,16,00:00.0,S,1,2576.3544,00:00.0
54,753,43662,9,00:00.0,S,1,2576.3544,00:00.0
55,754,43662,4,00:00.0,S,4,1049.7528,00:00.0
56,755,43662,22,00:00.0,S,1,1049.7528,00:00.0
