WorkOrderID,ProductID,OrderQty,StockedQty,ScrappedQty,StartDate,EndDate,DueDate,ScrapReasonID,ModifiedDate
1,722,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
2,725,15,15,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
3,726,9,9,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
4,729,16,16,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
5,730,14,14,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
6,732,16,16,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
7,733,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
8,738,19,19,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
9,741,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
10,742,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
11,743,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
12,745,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
13,747,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
14,748,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
15,749,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
16,753,14,14,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
17,754,27,27,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
18,755,11,11,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
19,756,14,14,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
20,758,46,46,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
21,760,43,43,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
22,761,19,19,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
23,762,44,44,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
24,763,20,20,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
25,764,14,14,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
26,765,30,30,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
27,766,11,11,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
