PurchaseOrderID,PurchaseOrderDetailID,DueDate,OrderQty,ProductID,UnitPrice,LineTotal,ReceivedQty,RejectedQty,StockedQty,ModifiedDate
1,1,00:00.0,4,1,50.26,201.04,3,0,3,00:00.0
2,2,00:00.0,3,359,45.12,135.36,3,0,3,00:00.0
2,3,00:00.0,3,360,45.5805,136.7415,3,0,3,00:00.0
3,4,00:00.0,550,530,16.086,8847.3,550,0,550,00:00.0
4,5,00:00.0,3,4,57.0255,171.0765,2,1,1,00:00.0
5,6,00:00.0,550,512,37.086,20397.3,550,0,550,00:00.0
6,7,00:00.0,550,513,26.5965,14628.075,468,0,468,00:00.0
7,8,00:00.0,550,317,27.0585,14882.175,550,0,550,00:00.0
7,9,00:00.0,550,318,33.579,18468.45,550,0,550,00:00.0
7,10,00:00.0,550,319,46.0635,25334.925,550,0,550,00:00.0
8,11,00:00.0,3,403,47.4705,142.4115,3,0,3,00:00.0
8,12,00:00.0,3,404,45.3705,136.1115,3,0,3,00:00.0
8,13,00:00.0,3,405,49.644,148.932,3,0,3,00:00.0
8,14,00:00.0,3,406,45.3705,136.1115,3,0,3,00:00.0
8,15,00:00.0,3,407,43.2705,129.8115,3,0,3,00:00.0
9,16,00:00.0,3,422,47.523,142.569,3,0,3,00:00.0
9,17,00:00.0,3,423,45.423,136.269,3,0,3,00:00.0
9,18,00:00.0,3,424,49.6965,149.0895,3,0,3,00:00.0
9,19,00:00.0,3,425,45.423,136.269,3,0,3,00:00.0
9,20,00:00.0,3,426,43.323,129.969,3,0,3,00:00.0
10,21,00:00.0,3,320,47.4705,142.4115,3,0,3,00:00.0
10,22,00:00.0,3,321,42.798,128.394,3,0,3,00:00.0
10,23,00:00.0,60,322,25.4205,1525.23,60,0,60,00:00.0
11,24,00:00.0,3,438,41.223,123.669,3,0,3,00:00.0
11,25,00:00.0,3,439,45.4965,136.4895,3,0,3,00:00.0
11,26,00:00.0,3,440,41.223,123.669,3,0,3,00:00.0
11,27,00:00.0,3,441,39.123,117.369,3,0,3,00:00.0
12,28,00:00.0,550,941,62.9895,34644.225,550,82,468,00:00.0
13,29,00:00.0,3,320,45.3705,136.1115,3,0,3,00:00.0
13,30,00:00.0,3,321,40.488,121.464,3,0,3,00:00.0
13,31,00:00.0,60,322,26.3655,1581.93,60,0,60,00:00.0
14,32,00:00.0,3,504,48.762,146.286,3,3,0,00:00.0
15,33,00:00.0,3,497,34.188,102.564,3,0,3,00:00.0
16,34,00:00.0,3,323,50.2635,150.7905,3,0,3,00:00.0
17,35,00:00.0,550,523,10.731,5902.05,550,0,550,00:00.0
17,36,00:00.0,550,524,14.1225,7767.375,550,0,550,00:00.0
18,37,00:00.0,60,492,50.2635,3015.81,60,0,60,00:00.0
18,38,00:00.0,60,493,57.1515,3429.09,60,0,60,00:00.0
18,39,00:00.0,60,494,53.2035,3192.21,60,0,60,00:00.0
18,40,00:00.0,60,495,63.693,3821.58,60,0,60,00:00.0
18,41,00:00.0,60,496,48.909,2934.54,60,0,60,00:00.0
19,42,00:00.0,550,908,21.0945,11601.975,550,0,550,00:00.0
19,43,00:00.0,550,909,30.4395,16741.725,550,0,550,00:00.0
19,44,00:00.0,550,910,40.9395,22516.725,550,0,550,00:00.0
19,45,00:00.0,550,911,21.0945,11601.975,550,0,550,00:00.0
19,46,00:00.0,550,912,30.4395,16741.725,550,0,550,00:00.0
20,47,00:00.0,60,506,9.198,551.88,60,0,60,00:00.0
21,48,00:00.0,550,351,5.775,3176.25,550,0,550,00:00.0
21,49,00:00.0,550,352,1.155,635.25,550,0,550,00:00.0
21,50,00:00.0,550,679,5.775,3176.25,550,27,523,00:00.0
22,51,00:00.0,550,507,23.394,12866.7,550,82,468,00:00.0
22,52,00:00.0,550,508,27.6465,15205.575,550,0,550,00:00.0
23,53,00:00.0,550,355,1.365,750.75,550,0,550,00:00.0
23,54,00:00.0,550,940,62.9895,34644.225,550,0,550,00:00.0
23,55,00:00.0,550,535,3.486,1917.3,550,0,550,00:00.0
24,56,00:00.0,550,351,6.195,3407.25,550,550,0,00:00.0
24,57,00:00.0,550,352,1.47,808.5,550,550,0,00:00.0
25,58,00:00.0,550,507,22.1655,12191.025,550,0,550,00:00.0
25,59,00:00.0,550,508,29.2845,16106.475,523,0,523,00:00.0
26,60,00:00.0,3,491,19.9815,59.9445,3,0,3,00:00.0
27,61,00:00.0,3,341,41.1705,123.5115,3,0,3,00:00.0
27,62,00:00.0,3,342,39.0705,117.2115,3,0,3,00:00.0
27,63,00:00.0,3,343,43.344,130.032,3,0,3,00:00.0
27,64,00:00.0,3,344,39.0705,117.2115,3,0,3,00:00.0
27,65,00:00.0,3,345,36.9705,110.9115,3,0,3,00:00.0
27,66,00:00.0,3,346,41.244,123.732,3,0,3,00:00.0
28,67,00:00.0,550,935,31.4895,17319.225,550,0,550,00:00.0
28,68,00:00.0,550,936,48.2895,26559.225,550,0,550,00:00.0
29,69,00:00.0,3,375,43.344,130.032,3,0,3,00:00.0
29,70,00:00.0,3,376,39.0705,117.2115,3,0,3,00:00.0
29,71,00:00.0,3,377,36.9705,110.9115,3,0,3,00:00.0
29,72,00:00.0,3,378,41.244,123.732,3,0,3,00:00.0
29,73,00:00.0,3,379,36.9705,110.9115,3,0,3,00:00.0
30,74,00:00.0,550,476,15.8865,8737.575,550,0,550,00:00.0
30,75,00:00.0,550,477,11.6655,6416.025,550,55,495,00:00.0
30,76,00:00.0,550,478,11.088,6098.4,550,0,550,00:00.0
31,77,00:00.0,3,402,47.4705,142.4115,3,0,3,00:00.0
32,78,00:00.0,550,510,23.079,12693.45,550,82,468,00:00.0
32,79,00:00.0,550,511,29.274,16100.7,550,0,550,00:00.0
33,80,00:00.0,3,403,45.3705,136.1115,3,0,3,00:00.0
33,81,00:00.0,3,404,49.644,148.932,3,0,3,00:00.0
33,82,00:00.0,3,405,45.3705,136.1115,3,0,3,00:00.0
34,83,00:00.0,550,525,2.3205,1276.275,550,550,0,00:00.0
35,84,00:00.0,550,526,3.6435,2003.925,550,0,550,00:00.0
36,85,00:00.0,550,908,21.0945,11601.975,468,0,468,00:00.0
36,86,00:00.0,550,909,30.4395,16741.725,550,0,550,00:00.0
36,87,00:00.0,550,913,40.9395,22516.725,550,0,550,00:00.0
37,88,00:00.0,60,356,3.6015,216.09,60,0,60,00:00.0
37,89,00:00.0,60,357,3.9795,238.77,60,0,60,00:00.0
38,90,00:00.0,550,935,31.4895,17319.225,550,0,550,00:00.0
38,91,00:00.0,550,936,48.2895,26559.225,550,0,550,00:00.0
39,92,00:00.0,550,524,12.9675,7132.125,550,0,550,00:00.0
40,93,00:00.0,550,911,21.0945,11601.975,550,0,550,00:00.0
40,94,00:00.0,550,912,30.4395,16741.725,550,55,495,00:00.0
41,95,00:00.0,550,910,40.9395,22516.725,550,0,550,00:00.0
42,96,00:00.0,550,937,62.9895,34644.225,550,82,468,00:00.0
43,97,00:00.0,3,463,47.523,142.569,3,0,3,00:00.0
43,98,00:00.0,3,464,45.423,136.269,3,0,3,00:00.0
43,99,00:00.0,3,465,49.6965,149.0895,3,0,3,00:00.0
44,100,00:00.0,3,462,47.6805,143.0415,3,3,0,00:00.0
45,101,00:00.0,550,510,23.4045,12872.475,550,0,550,00:00.0
45,102,00:00.0,550,511,27.867,15326.85,523,0,523,00:00.0
46,103,00:00.0,550,527,6.7515,3713.325,468,0,468,00:00.0
47,104,00:00.0,550,938,31.4895,17319.225,550,0,550,00:00.0
47,105,00:00.0,550,939,48.2895,26559.225,550,0,550,00:00.0
47,106,00:00.0,550,509,36.2775,19952.625,550,0,550,00:00.0
