PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ShipMethodID,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,ModifiedDate
1,4,4,258,1580,3,00:00.0,00:00.0,201.04,16.0832,5.026,222.1492,00:00.0
2,4,1,254,1496,5,00:00.0,00:00.0,272.1015,21.7681,6.8025,300.6721,00:00.0
3,4,4,257,1494,2,00:00.0,00:00.0,8847.3,707.784,221.1825,9776.2665,00:00.0
4,4,3,261,1650,5,00:00.0,00:00.0,171.0765,13.6861,4.2769,189.0395,00:00.0
5,4,4,251,1654,4,00:00.0,00:00.0,20397.3,1631.784,509.9325,22539.0165,00:00.0
6,4,4,253,1664,3,00:00.0,00:00.0,14628.075,1170.246,365.7019,16164.0229,00:00.0
7,4,4,255,1678,3,00:00.0,00:00.0,58685.55,4694.844,1467.1388,64847.5328,00:00.0
8,4,4,256,1616,5,00:00.0,00:00.0,693.378,55.4702,17.3345,766.1827,00:00.0
9,5,4,259,1492,5,00:00.0,00:00.0,694.1655,55.5332,17.3541,767.0528,00:00.0
10,4,4,250,1602,5,00:00.0,00:00.0,1796.0355,143.6828,44.9009,1984.6192,00:00.0
11,4,4,258,1540,4,00:00.0,00:00.0,501.1965,40.0957,12.5299,553.8221,00:00.0
12,4,4,254,1628,5,00:00.0,00:00.0,34644.225,2771.538,866.1056,38281.8686,00:00.0
13,4,4,257,1604,4,00:00.0,00:00.0,1839.5055,147.1604,45.9876,2032.6535,00:00.0
14,4,3,261,1690,5,00:00.0,00:00.0,146.286,11.7029,3.6572,161.6461,00:00.0
15,4,4,251,1566,5,00:00.0,00:00.0,102.564,8.2051,2.5641,113.3332,00:00.0
16,4,4,253,1698,5,00:00.0,00:00.0,150.7905,12.0632,3.7698,166.6235,00:00.0
17,4,4,255,1560,5,00:00.0,00:00.0,13669.425,1093.554,341.7356,15104.7146,00:00.0
18,4,4,256,1692,5,00:00.0,00:00.0,16393.23,1311.4584,409.8308,18114.5192,00:00.0
19,4,4,259,1696,2,00:00.0,00:00.0,79204.125,6336.33,1980.1031,87520.5581,00:00.0
20,4,4,260,1504,1,00:00.0,00:00.0,551.88,44.1504,13.797,609.8274,00:00.0
21,4,4,250,1544,1,00:00.0,00:00.0,6987.75,559.02,174.6938,7721.4638,00:00.0
22,4,4,254,1530,2,00:00.0,00:00.0,28072.275,2245.782,701.8069,31019.8639,00:00.0
23,4,4,257,1508,1,00:00.0,00:00.0,37312.275,2984.982,932.8069,41230.0639,00:00.0
24,4,3,261,1694,1,00:00.0,00:00.0,4215.75,337.26,105.3938,4658.4038,00:00.0
25,4,4,251,1624,2,00:00.0,00:00.0,28297.5,2263.8,707.4375,31268.7375,00:00.0
26,4,4,253,1548,2,00:00.0,00:00.0,59.9445,4.7956,1.4986,66.2387,00:00.0
27,4,4,255,1598,4,00:00.0,00:00.0,722.61,57.8088,18.0653,798.4841,00:00.0
28,4,4,256,1658,5,00:00.0,00:00.0,43878.45,3510.276,1096.9613,48485.6873,00:00.0
29,4,4,259,1536,4,00:00.0,00:00.0,592.7985,47.4239,14.82,655.0424,00:00.0
30,4,4,260,1568,2,00:00.0,00:00.0,21252,1700.16,531.3,23483.46,00:00.0
31,4,4,258,1648,5,00:00.0,00:00.0,142.4115,11.3929,3.5603,157.3647,00:00.0
32,6,4,254,1646,2,00:00.0,00:00.0,28794.15,2303.532,719.8538,31817.5358,00:00.0
33,4,4,257,1672,4,00:00.0,00:00.0,421.155,33.6924,10.5289,465.3763,00:00.0
34,4,3,261,1600,1,00:00.0,00:00.0,1276.275,102.102,31.9069,1410.2839,00:00.0
35,4,4,251,1522,1,00:00.0,00:00.0,2003.925,160.314,50.0981,2214.3371,00:00.0
36,4,4,253,1570,2,00:00.0,00:00.0,50860.425,4068.834,1271.5106,56200.7696,00:00.0
37,4,4,255,1516,1,00:00.0,00:00.0,454.86,36.3888,11.3715,502.6203,00:00.0
38,6,4,256,1506,5,00:00.0,00:00.0,43878.45,3510.276,1096.9613,48485.6873,00:00.0
39,4,4,252,1626,2,00:00.0,00:00.0,7132.125,570.57,178.3031,7880.9981,00:00.0
40,4,4,260,1542,2,00:00.0,00:00.0,28343.7,2267.496,708.5925,31319.7885,00:00.0
41,4,4,258,1610,4,00:00.0,00:00.0,22516.725,1801.338,562.9181,24880.9811,00:00.0
42,5,4,254,1638,5,00:00.0,00:00.0,34644.225,2771.538,866.1056,38281.8686,00:00.0
43,4,4,257,1582,5,00:00.0,00:00.0,427.9275,34.2342,10.6982,472.8599,00:00.0
44,4,3,261,1510,5,00:00.0,00:00.0,143.0415,11.4433,3.576,158.0608,00:00.0
45,4,4,250,1526,2,00:00.0,00:00.0,28199.325,2255.946,704.9831,31160.2541,00:00.0
46,4,4,253,1644,1,00:00.0,00:00.0,3713.325,297.066,92.8331,4103.2241,00:00.0
47,4,4,255,1680,5,00:00.0,00:00.0,63831.075,5106.486,1595.7769,70533.3379,00:00.0
48,4,4,256,1584,5,00:00.0,00:00.0,16340.31,1307.2248,408.5078,18056.0426,00:00.0
49,4,4,259,1620,5,00:00.0,00:00.0,5711.475,456.918,142.7869,6311.1799,00:00.0
50,5,4,260,1666,5,00:00.0,00:00.0,429.345,34.3476,10.7336,474.4262,00:00.0
51,4,4,258,1592,2,00:00.0,00:00.0,97.965,7.8372,2.4491,108.2513,00:00.0
52,4,4,254,1618,4,00:00.0,00:00.0,114.471,9.1577,2.8618,126.4905,00:00.0
53,4,4,252,1612,4,00:00.0,00:00.0,132.6465,10.6117,3.3162,146.5744,00:00.0
54,6,3,261,1586,5,00:00.0,00:00.0,43878.45,3510.276,1096.9613,48485.6873,00:00.0
55,4,4,251,1500,1,00:00.0,00:00.0,418.95,33.516,10.4738,462.9398,00:00.0
56,4,4,253,1656,4,00:00.0,00:00.0,525.7665,42.0613,13.1442,580.972,00:00.0
57,4,4,255,1572,1,00:00.0,00:00.0,461.79,36.9432,11.5448,510.278,00:00.0
58,4,4,256,1562,4,00:00.0,00:00.0,630.378,50.4302,15.7595,696.5677,00:00.0
59,9,4,259,1662,2,00:00.0,00:00.0,37.0755,2.966,0.9269,40.9684,00:00.0
60,4,4,260,1682,4,00:00.0,00:00.0,21558.075,1724.646,538.9519,23821.6729,00:00.0
61,4,4,258,1686,4,00:00.0,00:00.0,507.087,40.567,12.6772,560.3312,00:00.0
62,4,4,254,1684,5,00:00.0,00:00.0,41048.7,3283.896,1026.2175,45358.8135,00:00.0
63,4,4,257,1534,5,00:00.0,00:00.0,429.345,34.3476,10.7336,474.4262,00:00.0
64,5,3,261,1614,5,00:00.0,00:00.0,279.153,22.3322,6.9788,308.464,00:00.0
65,4,4,251,1588,5,00:00.0,00:00.0,40471.2,3237.696,1011.78,44720.676,00:00.0
66,5,4,253,1622,5,00:00.0,00:00.0,563.5665,45.0853,14.0892,622.741,00:00.0
67,4,4,255,1632,5,00:00.0,00:00.0,62092.8,4967.424,1552.32,68612.544,00:00.0
68,5,4,256,1608,5,00:00.0,00:00.0,5948.25,475.86,148.7063,6572.8163,00:00.0
69,4,4,259,1576,5,00:00.0,00:00.0,91117.95,7289.436,2277.9488,100685.3348,00:00.0
70,5,4,260,1590,1,00:00.0,00:00.0,525,42,13.125,580.125,00:00.0
71,4,4,258,1514,5,00:00.0,00:00.0,2003.6835,160.2947,50.0921,2214.0703,00:00.0
72,4,4,254,1498,4,00:00.0,00:00.0,26455.275,2116.422,661.3819,29233.0789,00:00.0
73,4,4,257,1674,2,00:00.0,00:00.0,944.37,75.5496,23.6093,1043.5289,00:00.0
74,6,3,261,1652,4,00:00.0,00:00.0,44594.55,3567.564,1114.8638,49276.9778,00:00.0
75,4,4,251,1578,3,00:00.0,00:00.0,62843.55,5027.484,1571.0888,69442.1228,00:00.0
76,4,4,253,1538,5,00:00.0,00:00.0,37843.575,3027.486,946.0894,41817.1504,00:00.0
77,4,4,252,1556,4,00:00.0,00:00.0,25531.275,2042.502,638.2819,28212.0589,00:00.0
