CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate,EndOfDayRate,ModifiedDate
1,00:00.0,USD,ARS,1,1.0002,00:00.0
2,00:00.0,USD,AUD,1.5491,1.55,00:00.0
3,00:00.0,USD,BRL,1.9379,1.9419,00:00.0
4,00:00.0,USD,CAD,1.4641,1.4683,00:00.0
5,00:00.0,USD,CNY,8.2781,8.2784,00:00.0
6,00:00.0,USD,DEM,1.8967,1.8976,00:00.0
7,00:00.0,USD,EUR,0.9697,0.9703,00:00.0
8,00:00.0,USD,FRF,6.3611,6.3613,00:00.0
9,00:00.0,USD,GBP,0.6183,0.6183,00:00.0
10,00:00.0,USD,JPY,104.91,104.958,00:00.0
11,00:00.0,USD,MXN,9.374,9.384,00:00.0
12,00:00.0,USD,SAR,3.7507,3.7584,00:00.0
13,00:00.0,USD,VEB,634.5099,634.6,00:00.0
14,00:00.0,USD,ARS,1,0.9991,00:00.0
15,00:00.0,USD,AUD,1.5559,1.5558,00:00.0
16,00:00.0,USD,BRL,1.9339,1.933,00:00.0
17,00:00.0,USD,CAD,1.4661,1.4637,00:00.0
18,00:00.0,USD,CNY,8.2781,8.2774,00:00.0
19,00:00.0,USD,DEM,1.8924,1.8922,00:00.0
20,00:00.0,USD,EUR,0.9676,0.967,00:00.0
21,00:00.0,USD,FRF,6.3468,6.3465,00:00.0
22,00:00.0,USD,GBP,0.6166,0.6162,00:00.0
23,00:00.0,USD,JPY,105.7,105.674,00:00.0
24,00:00.0,USD,MXN,9.3949,9.3919,00:00.0
25,00:00.0,USD,SAR,3.7507,3.7507,00:00.0
26,00:00.0,USD,VEB,634.25,634.24,00:00.0
27,00:00.0,USD,ARS,1,1.0004,00:00.0
28,00:00.0,USD,AUD,1.5592,1.5597,00:00.0
29,00:00.0,USD,BRL,1.9359,1.944,00:00.0
30,00:00.0,USD,CAD,1.4672,1.4734,00:00.0
31,00:00.0,USD,CNY,8.2781,8.2789,00:00.0
32,00:00.0,USD,DEM,1.8796,1.8802,00:00.0
33,00:00.0,USD,EUR,0.961,0.9615,00:00.0
34,00:00.0,USD,FRF,6.3041,6.3041,00:00.0
35,00:00.0,USD,GBP,0.6156,0.6163,00:00.0
36,00:00.0,USD,JPY,105.53,105.604,00:00.0
37,00:00.0,USD,MXN,9.355,9.355,00:00.0
38,00:00.0,USD,SAR,3.7505,3.757,00:00.0
39,00:00.0,USD,VEB,634.75,634.7999,00:00.0
40,00:00.0,USD,ARS,1,1,00:00.0
41,00:00.0,USD,AUD,1.5645,1.5634,00:00.0
42,00:00.0,USD,BRL,1.9295,1.925,00:00.0
43,00:00.0,USD,CAD,1.4672,1.4609,00:00.0
44,00:00.0,USD,CNY,8.2783,8.2782,00:00.0
45,00:00.0,USD,DEM,1.8811,1.8801,00:00.0
46,00:00.0,USD,EUR,0.9617,0.9617,00:00.0
47,00:00.0,USD,FRF,6.309,6.308,00:00.0
48,00:00.0,USD,GBP,0.6163,0.6159,00:00.0
49,00:00.0,USD,JPY,105.77,105.682,00:00.0
50,00:00.0,USD,MXN,9.346,9.3369,00:00.0
51,00:00.0,USD,SAR,3.7492,3.7416,00:00.0
52,00:00.0,USD,VEB,635.75,635.6599,00:00.0
53,00:00.0,USD,ARS,1,1.0004,00:00.0
54,00:00.0,USD,AUD,1.5667,1.567,00:00.0
55,00:00.0,USD,BRL,1.9319,1.937,00:00.0
56,00:00.0,USD,CAD,1.464,1.4673,00:00.0
57,00:00.0,USD,CNY,8.2784,8.2788,00:00.0
58,00:00.0,USD,DEM,1.8978,1.8984,00:00.0
59,00:00.0,USD,EUR,0.9704,0.9711,00:00.0
60,00:00.0,USD,FRF,6.3654,6.3658,00:00.0
61,00:00.0,USD,GBP,0.6185,0.6186,00:00.0
62,00:00.0,USD,JPY,106.11,106.182,00:00.0
63,00:00.0,USD,MXN,9.335,9.3369,00:00.0
64,00:00.0,USD,SAR,3.7507,3.7606,00:00.0
65,00:00.0,USD,VEB,636.25,636.33,00:00.0
66,00:00.0,USD,ARS,1,0.9995,00:00.0
67,00:00.0,USD,AUD,1.5642,1.5636,00:00.0
68,00:00.0,USD,BRL,1.933,1.925,00:00.0
69,00:00.0,USD,CAD,1.4641,1.4563,00:00.0
70,00:00.0,USD,CNY,8.2784,8.278,00:00.0
71,00:00.0,USD,DEM,1.9007,1.8997,00:00.0
72,00:00.0,USD,EUR,0.9718,0.9715,00:00.0
73,00:00.0,USD,FRF,6.3746,6.3742,00:00.0
74,00:00.0,USD,GBP,0.6179,0.6173,00:00.0
75,00:00.0,USD,JPY,106.42,106.403,00:00.0
76,00:00.0,USD,MXN,9.335,9.327,00:00.0
77,00:00.0,USD,SAR,3.7507,3.75,00:00.0
78,00:00.0,USD,VEB,636.25,636.25,00:00.0
79,00:00.0,USD,ARS,1,1.0005,00:00.0
80,00:00.0,USD,AUD,1.5645,1.5652,00:00.0
81,00:00.0,USD,BRL,1.933,1.9379,00:00.0
82,00:00.0,USD,CAD,1.4621,1.4661,00:00.0
83,00:00.0,USD,CNY,8.2784,8.2784,00:00.0
84,00:00.0,USD,DEM,1.8987,1.899,00:00.0
85,00:00.0,USD,EUR,0.9708,0.9716,00:00.0
86,00:00.0,USD,FRF,6.3678,6.3681,00:00.0
87,00:00.0,USD,GBP,0.6177,0.6179,00:00.0
88,00:00.0,USD,JPY,106.38,106.4479,00:00.0
89,00:00.0,USD,MXN,9.335,9.3439,00:00.0
90,00:00.0,USD,SAR,3.7509,3.7566,00:00.0
91,00:00.0,USD,VEB,636.25,636.2899,00:00.0
92,00:00.0,USD,ARS,1,0.9998,00:00.0
93,00:00.0,USD,AUD,1.5679,1.5678,00:00.0
94,00:00.0,USD,BRL,1.933,1.923,00:00.0
95,00:00.0,USD,CAD,1.4623,1.4604,00:00.0
96,00:00.0,USD,CNY,8.2784,8.2779,00:00.0
97,00:00.0,USD,DEM,1.8965,1.8957,00:00.0
98,00:00.0,USD,EUR,0.9697,0.969,00:00.0
99,00:00.0,USD,FRF,6.3605,6.3605,00:00.0
100,00:00.0,USD,GBP,0.6171,0.6163,00:00.0
101,00:00.0,USD,JPY,105.74,105.7159,00:00.0
102,00:00.0,USD,MXN,9.325,9.323,00:00.0
103,00:00.0,USD,SAR,3.7507,3.741,00:00.0
104,00:00.0,USD,VEB,636.3999,636.32,00:00.0
105,00:00.0,USD,ARS,1,1.0008,00:00.0
106,00:00.0,USD,AUD,1.5726,1.5734,00:00.0
107,00:00.0,USD,BRL,1.933,1.9339,00:00.0
108,00:00.0,USD,CAD,1.4658,1.4752,00:00.0
109,00:00.0,USD,CNY,8.2783,8.2786,00:00.0
110,00:00.0,USD,DEM,1.8967,1.8971,00:00.0
111,00:00.0,USD,EUR,0.9697,0.9706,00:00.0
112,00:00.0,USD,FRF,6.3611,6.3613,00:00.0
113,00:00.0,USD,GBP,0.6159,0.6163,00:00.0
114,00:00.0,USD,JPY,104.47,104.54,00:00.0
115,00:00.0,USD,MXN,9.3399,9.3399,00:00.0
116,00:00.0,USD,SAR,3.7507,3.7555,00:00.0
