SalesOrderID,SalesReasonID,ModifiedDate
43697,5,00:00.0
43697,9,00:00.0
43702,5,00:00.0
43702,9,00:00.0
43703,5,00:00.0
43703,9,00:00.0
43706,5,00:00.0
43706,9,00:00.0
43707,5,00:00.0
43707,9,00:00.0
43709,5,00:00.0
43709,9,00:00.0
43710,5,00:00.0
43710,9,00:00.0
43711,5,00:00.0
43711,9,00:00.0
43712,5,00:00.0
43712,9,00:00.0
43713,5,00:00.0
43713,9,00:00.0
43714,5,00:00.0
43714,9,00:00.0
43715,5,00:00.0
43715,9,00:00.0
43716,5,00:00.0
43716,9,00:00.0
43718,5,00:00.0
43718,9,00:00.0
43719,5,00:00.0
43719,9,00:00.0
43720,5,00:00.0
43720,9,00:00.0
43721,5,00:00.0
43721,9,00:00.0
43722,5,00:00.0
43722,9,00:00.0
43724,5,00:00.0
43724,9,00:00.0
43725,5,00:00.0
43725,9,00:00.0
43727,5,00:00.0
43727,9,00:00.0
43728,5,00:00.0
43728,9,00:00.0
43731,5,00:00.0
43731,9,00:00.0
43733,5,00:00.0
43733,9,00:00.0
43734,5,00:00.0
43734,9,00:00.0
43735,5,00:00.0
43735,9,00:00.0
43737,5,00:00.0
43737,9,00:00.0
43738,5,00:00.0
43738,9,00:00.0
43739,5,00:00.0
43739,9,00:00.0
43740,5,00:00.0
43740,9,00:00.0
43741,5,00:00.0
43741,9,00:00.0
43742,5,00:00.0
43742,9,00:00.0
43744,5,00:00.0
43744,9,00:00.0
43745,5,00:00.0
43745,9,00:00.0
43746,5,00:00.0
43746,9,00:00.0
43747,5,00:00.0
43747,9,00:00.0
43748,5,00:00.0
43748,9,00:00.0
43749,5,00:00.0
43749,9,00:00.0
43750,5,00:00.0
43750,9,00:00.0
43751,5,00:00.0
43751,9,00:00.0
43752,5,00:00.0
43752,9,00:00.0
43753,5,00:00.0
43753,9,00:00.0
43754,5,00:00.0
43754,9,00:00.0
43755,5,00:00.0
43755,9,00:00.0
43758,5,00:00.0
43758,9,00:00.0
43759,5,00:00.0
43759,9,00:00.0
43760,5,00:00.0
43760,9,00:00.0
43761,5,00:00.0
43761,9,00:00.0
43762,5,00:00.0
43762,9,00:00.0
43763,5,00:00.0
43763,9,00:00.0
43764,5,00:00.0
43764,9,00:00.0
43766,5,00:00.0
43766,9,00:00.0
43768,5,00:00.0
43768,9,00:00.0
43769,5,00:00.0
43769,9,00:00.0
43770,5,00:00.0
43770,9,00:00.0
43772,5,00:00.0
43772,9,00:00.0
43773,5,00:00.0
43773,9,00:00.0
43774,5,00:00.0
43774,9,00:00.0
43776,5,00:00.0
43776,9,00:00.0
43777,5,00:00.0
43777,9,00:00.0
43780,5,00:00.0
43780,9,00:00.0
43781,5,00:00.0
43781,9,00:00.0
43782,5,00:00.0
43782,9,00:00.0
43783,5,00:00.0
43783,9,00:00.0
43784,5,00:00.0
43784,9,00:00.0
43785,5,00:00.0
43785,9,00:00.0
43786,5,00:00.0
43786,9,00:00.0
43791,5,00:00.0
43791,9,00:00.0
43792,5,00:00.0
43792,9,00:00.0
43795,5,00:00.0
43795,9,00:00.0
43797,5,00:00.0
43797,9,00:00.0
43798,5,00:00.0
